ticker,recommendation,target_achieve_duration,Author,Publish Date,Subscribers,Num Videos,Views,Registered,Certification,Credibility
gtbl,buy,3 years,Rahul Jain,30/07/23,149000,161,188936,0,NA,14.9
sbin,buy,12 month,Rahul Jain,18/06/23,149000,161,766393,0,NA,14.9
ITC,buy,12 month,Rahul Jain,18/06/23,149000,161,766393,0,NA,14.9
TCS,buy,12 month,Rahul Jain,18/06/23,149000,161,766393,0,NA,14.9
TCS,buy,3 years,Rahul Jain,09/08/23,149000,161,115141,0,NA,14.9
ITC,buy,3 years,Rahul Jain,09/08/23,149000,161,115141,0,NA,14.9
HCL,buy,3 years,Rahul Jain,09/08/23,149000,161,115141,0,NA,14.9
Sun pharmaceutical,buy,3 years,Rahul Jain,09/08/23,149000,161,115141,0,NA,14.9
cipla,buy,3 years,Rahul Jain,09/08/23,149000,161,115141,0,NA,14.9
Dr Reddy's laboratory,buy,3 years,Rahul Jain,09/08/23,149000,161,115141,0,NA,14.9
Bharat Electronics limited,buy,3 years,Rahul Jain,09/08/23,149000,161,115141,0,NA,14.9
Titan,buy,3 years,Akshat Shrivastava,05/07/23,1820000,688,833867,0,NA,50
HDFC,buy,3 years,Akshat Shrivastava,05/07/23,1820000,688,833867,0,NA,50
Apple,buy,3 years,Akshat Shrivastava,05/07/23,1820000,688,833867,0,NA,50
Hindustan Unilever,buy,3 years,Akshat Shrivastava,05/07/23,1820000,688,833867,0,NA,50
kpit,buy,5-10 years,Sahil Bhadviya,28/07/23,437000,634,248529,0,NA,43.7
flindia,buy,5-10 years,Sahil Bhadviya,28/07/23,437000,634,248529,0,NA,43.7
ceinfo,buy,few years,Sahil Bhadviya,28/07/23,437000,634,248529,0,NA,43.7
dixon,buy,long term,Sahil Bhadviya,28/07/23,437000,634,248529,0,NA,43.7
mtar,buy,next few years,Sahil Bhadviya,28/07/23,437000,634,248529,0,NA,43.7
idfc,buy,3-5 years,Sahil Bhadviya,28/07/23,437000,634,248529,0,NA,43.7
gokuldas,buy,coming quarters and years,Sahil Bhadviya,28/07/23,437000,634,248529,0,NA,43.7
avas,buy,3-5 years,Sahil Bhadviya,28/07/23,437000,634,248529,0,NA,43.7
praj,buy,3-5 years,Sahil Bhadviya,28/07/23,437000,634,248529,0,NA,43.7
newgen,buy,3 years,Sahil Bhadviya,28/07/23,437000,634,248529,0,NA,43.7
garware,buy,3 years,Sahil Bhadviya,03/06/23,437000,634,179855,0,NA,43.7
gmmpfaudlr,buy,3 years,Sahil Bhadviya,03/06/23,437000,634,179855,0,NA,43.7
suprajit,buy,3 years,Sahil Bhadviya,03/06/23,437000,634,179855,0,NA,43.7
moldtkpac,buy,3 years,Sahil Bhadviya,03/06/23,437000,634,179855,0,NA,43.7
amrutanjan,buy,3 years,Sahil Bhadviya,03/06/23,437000,634,179855,0,NA,43.7
galaxysurf,buy,3 years,Sahil Bhadviya,03/06/23,437000,634,179855,0,NA,43.7
fineorg,buy,3 years,Sahil Bhadviya,03/06/23,437000,634,179855,0,NA,43.7
alkylamine,buy,3 years,Sahil Bhadviya,03/06/23,437000,634,179855,0,NA,43.7
paushakltd,buy,3 years,Sahil Bhadviya,03/06/23,437000,634,179855,0,NA,43.7
masfin,buy,3 years,Sahil Bhadviya,03/06/23,437000,634,179855,0,NA,43.7
awas,buy,3 years,Sahil Bhadviya,03/06/23,437000,634,179855,0,NA,43.7
tarsons,buy,3 years,Sahil Bhadviya,03/06/23,437000,634,179855,0,NA,43.7
vijayadiagnostic,buy,3 years,Sahil Bhadviya,03/06/23,437000,634,179855,0,NA,43.7
homefirst,buy,3 years,Sahil Bhadviya,03/06/23,437000,634,179855,0,NA,43.7
prudent,buy,3 years,Sahil Bhadviya,03/06/23,437000,634,179855,0,NA,43.7
ultramarine,buy,3 years,Sahil Bhadviya,03/06/23,437000,634,179855,0,NA,43.7
vmart,buy,3 years,Sahil Bhadviya,03/06/23,437000,634,179855,0,NA,43.7
HDFC,buy,3 years,Akshat Shrivastava,02/08/23,1820000,688,250558,0,NA,50
ICICI,buy,3 years,Akshat Shrivastava,02/08/23,1820000,688,250558,0,NA,50
Kotak Mahindra,buy,3 years,Akshat Shrivastava,02/08/23,1820000,688,250558,0,NA,50
Avas Financials,buy,3 years,Akshat Shrivastava,02/08/23,1820000,688,250558,0,NA,50
SBI Cards,buy,3 years,Akshat Shrivastava,02/08/23,1820000,688,250558,0,NA,50
Rajesh Exports,buy,3 years,Akshat Shrivastava,02/08/23,1820000,688,250558,0,NA,50
UI Path,buy,3 years,Akshat Shrivastava,02/08/23,1820000,688,250558,0,NA,50
G1 Small Finance,buy,3 years,Akshat Shrivastava,02/08/23,1820000,688,250558,0,NA,50
dick jam,buy,3 years,Akshat Shrivastava,27/04/22,1820000,688,599557,0,NA,50
adhinath textiles,buy,3 years,Akshat Shrivastava,27/04/22,1820000,688,599557,0,NA,50
pridecom group,buy,3 years,Akshat Shrivastava,27/04/22,1820000,688,599557,0,NA,50
cerebral integrated,buy,3 years,Akshat Shrivastava,27/04/22,1820000,688,599557,0,NA,50
ngl fine chemical,buy,3 years,Akshat Shrivastava,27/04/22,1820000,688,599557,0,NA,50
juti resins,buy,3 years,Akshat Shrivastava,27/04/22,1820000,688,599557,0,NA,50
reliance,sell,not mentioned,Akshat Shrivastava,04/08/23,1820000,688,599557,0,NA,50
relaxo,sell,not mentioned,Akshat Shrivastava,04/08/23,1820000,688,599557,0,NA,50
bata,sell,not mentioned,Akshat Shrivastava,04/08/23,1820000,688,599557,0,NA,50
adani,not mentioned,not mentioned,Ashish Kayal,27/01/23,44100,1300,3200,1,CMT,84.41
relianceÊ,buy,not mentioned,Ashish Kayal,14/04/23,44100,1300,5000,1,CMT,84.41
orient,buy,not mentioned,Rahul Singh,25/08/23,407,157,92,1,NISM,80.0407
yes bank,buy,not mentioned,Rahul Singh,02/08/22,407,157,287,1,NISM,80.0407
